id	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16	HUGO
ENSG00000018408:009	0	0	WWTR1
ENSG00000018408:010	0	0	WWTR1
ENSG00000018408:011	0	0	WWTR1
ENSG00000018408:012	0	0	WWTR1
ENSG00000018408:013	0	0	WWTR1
ENSG00000018408:014	0	0	WWTR1
ENSG00000018408:015	0	0	WWTR1
ENSG00000018408:016	0	0	WWTR1
ENSG00000018408:017	0	0	WWTR1
ENSG00000018408:018	0	0	WWTR1
ENSG00000018408:019	0	0	WWTR1
ENSG00000018408:020	0	0	WWTR1
ENSG00000018408:021	0	0	WWTR1
ENSG00000018408:022	0	0	WWTR1
ENSG00000018408:023	0	0	WWTR1
ENSG00000018408:024	0	0	WWTR1
ENSG00000018408:025	0	0	WWTR1
ENSG00000018408:026	0	0	WWTR1
ENSG00000018408:027	0	0	WWTR1
ENSG00000018408:028	0	0	WWTR1
ENSG00000018408:029	0	0	WWTR1
ENSG00000018408:030	0	0	WWTR1
ENSG00000018408:031	0	0	WWTR1
ENSG00000018408:032	0	0	WWTR1
ENSG00000018408:033	0	0	WWTR1
ENSG00000018408:034	0	0	WWTR1
ENSG00000018408:035	0	0	WWTR1
ENSG00000018408:036	0	0	WWTR1
ENSG00000018408:037	0	0	WWTR1
ENSG00000018408:038	0	0	WWTR1
ENSG00000019582:001	0	0	CD74
ENSG00000019582:002	0	0	CD74
ENSG00000019582:003	0	0	CD74
ENSG00000019582:004	0	0	CD74
ENSG00000019582:005	0	0	CD74
ENSG00000019582:006	0	0	CD74
ENSG00000019582:007	0	0	CD74
ENSG00000019582:008	0	0	CD74
ENSG00000019582:009	0	0	CD74
ENSG00000019582:010	0	0	CD74
ENSG00000019582:011	0	0	CD74
ENSG00000019582:012	0	0	CD74
ENSG00000019582:013	0	0	CD74
ENSG00000019582:014	0	0	CD74
ENSG00000019582:015	0	0	CD74
ENSG00000019582:016	0	0	CD74
ENSG00000019582:017	0	0	CD74
ENSG00000019582:018	0	0	CD74
ENSG00000019582:019	0	0	CD74
ENSG00000019582:020	0	0	CD74
ENSG00000019582:021	0	0	CD74
ENSG00000019582:022	0	0	CD74
ENSG00000019582:023	0	0	CD74
ENSG00000019582:024	0	0	CD74
ENSG00000019582:025	0	0	CD74
ENSG00000019582:026	0	0	CD74
ENSG00000019582:027	0	0	CD74
ENSG00000019582:028	0	0	CD74
ENSG00000019582:029	0	0	CD74
ENSG00000019991:001	0	0	HGF
ENSG00000019991:002	0	0	HGF
ENSG00000019991:003	0	0	HGF
ENSG00000019991:004	0	0	HGF
ENSG00000019991:005	0	0	HGF
ENSG00000019991:006	0	0	HGF
ENSG00000019991:007	0	0	HGF
ENSG00000019991:008	0	0	HGF
ENSG00000019991:009	0	0	HGF
ENSG00000019991:010	0	0	HGF
ENSG00000019991:011	0	0	HGF
ENSG00000019991:012	0	0	HGF
ENSG00000019991:013	0	0	HGF
ENSG00000019991:014	0	0	HGF
ENSG00000019991:015	0	0	HGF
ENSG00000019991:016	0	0	HGF
ENSG00000019991:017	0	0	HGF
ENSG00000019991:018	0	0	HGF
ENSG00000019991:019	0	0	HGF
ENSG00000019991:020	0	0	HGF
ENSG00000019991:021	0	0	HGF
ENSG00000019991:022	0	0	HGF
ENSG00000019991:023	0	0	HGF
ENSG00000019991:024	0	0	HGF
ENSG00000019991:025	0	0	HGF
ENSG00000019991:026	0	0	HGF
ENSG00000019991:027	0	0	HGF
ENSG00000019991:028	0	0	HGF
ENSG00000019991:029	0	0	HGF
ENSG00000019991:030	0	0	HGF
ENSG00000019991:031	0	0	HGF
ENSG00000019991:032	0	0	HGF
ENSG00000019991:033	0	0	HGF
ENSG00000019991:034	0	0	HGF
ENSG00000019991:035	0	0	HGF
ENSG00000019991:036	0	0	HGF
ENSG00000019991:037	0	0	HGF
ENSG00000019991:038	0	0	HGF
ENSG00000019991:039	0	0	HGF
ENSG00000023445:001	0	0	BIRC3
ENSG00000023445:002	0	0	BIRC3
ENSG00000023445:003	0	0	BIRC3
ENSG00000023445:004	0	0	BIRC3
ENSG00000023445:005	0	0	BIRC3
ENSG00000023445:006	0	0	BIRC3
ENSG00000023445:007	0	0	BIRC3
ENSG00000023445:008	0	0	BIRC3
ENSG00000023445:009	0	0	BIRC3
ENSG00000023445:010	0	0	BIRC3
ENSG00000023445:011	0	0	BIRC3
ENSG00000023445:012	0	0	BIRC3
ENSG00000023445:013	0	0	BIRC3
ENSG00000023445:014	0	0	BIRC3
ENSG00000023445:015	0	0	BIRC3
ENSG00000023445:016	0	0	BIRC3
ENSG00000023445:017	0	0	BIRC3
ENSG00000023445:018	0	0	BIRC3
ENSG00000023445:019	0	0	BIRC3
ENSG00000023445:020	0	0	BIRC3
ENSG00000023445:021	0	0	BIRC3
ENSG00000023445:022	0	0	BIRC3
ENSG00000023445:023	0	0	BIRC3
ENSG00000023445:024	0	0	BIRC3
ENSG00000023445:025	0	0	BIRC3
ENSG00000023445:026	0	0	BIRC3
ENSG00000023445:027	0	0	BIRC3
ENSG00000023445:028	0	0	BIRC3
ENSG00000026103:001	0	0	FAS
ENSG00000026103:002	0	0	FAS
ENSG00000026103:003	0	0	FAS
ENSG00000026103:004	0	0	FAS
ENSG00000026103:005	0	0	FAS
ENSG00000026103:006	0	0	FAS
ENSG00000026103:007	0	0	FAS
ENSG00000026103:008	0	0	FAS
ENSG00000026103:009	0	0	FAS
ENSG00000026103:010	0	0	FAS
ENSG00000026103:011	0	0	FAS
ENSG00000026103:012	0	0	FAS
ENSG00000026103:013	0	0	FAS
ENSG00000026103:014	0	0	FAS
ENSG00000026103:015	0	0	FAS
ENSG00000026103:016	0	0	FAS
ENSG00000026103:017	0	0	FAS
ENSG00000026103:018	0	0	FAS
ENSG00000026103:019	0	0	FAS
ENSG00000026103:020	0	0	FAS
ENSG00000026103:021	0	0	FAS
ENSG00000026103:022	0	0	FAS
ENSG00000026103:023	0	0	FAS
ENSG00000026103:024	0	0	FAS
ENSG00000026103:025	0	0	FAS
ENSG00000026103:026	0	0	FAS
ENSG00000026103:027	0	0	FAS
ENSG00000026103:028	0	0	FAS
ENSG00000026103:029	0	0	FAS
ENSG00000026103:030	0	0	FAS
ENSG00000026103:031	0	0	FAS
ENSG00000026103:032	0	0	FAS
ENSG00000026103:033	0	0	FAS
ENSG00000026103:034	0	0	FAS
ENSG00000026103:035	0	0	FAS
ENSG00000026103:036	0	0	FAS
ENSG00000026103:037	0	0	FAS
ENSG00000026103:038	0	0	FAS
ENSG00000026103:039	0	0	FAS
ENSG00000026103:040	0	0	FAS
ENSG00000029725:001	0	0	RABEP1
ENSG00000029725:002	0	0	RABEP1
ENSG00000029725:003	0	0	RABEP1
ENSG00000029725:004	0	0	RABEP1
ENSG00000029725:005	0	0	RABEP1
ENSG00000029725:006	0	0	RABEP1
ENSG00000029725:007	0	0	RABEP1
ENSG00000029725:008	0	0	RABEP1
ENSG00000029725:009	0	0	RABEP1
ENSG00000029725:010	0	0	RABEP1
ENSG00000029725:011	0	0	RABEP1
ENSG00000029725:012	0	0	RABEP1
ENSG00000029725:013	0	0	RABEP1
ENSG00000029725:014	0	0	RABEP1
ENSG00000029725:015	0	0	RABEP1
ENSG00000029725:016	0	0	RABEP1
ENSG00000029725:017	0	0	RABEP1
ENSG00000029725:018	0	0	RABEP1
ENSG00000029725:019	0	0	RABEP1
ENSG00000029725:020	0	0	RABEP1
ENSG00000029725:021	0	0	RABEP1
ENSG00000029725:022	0	0	RABEP1
ENSG00000029725:023	0	0	RABEP1
ENSG00000029725:024	0	0	RABEP1
ENSG00000029725:025	0	0	RABEP1
ENSG00000029725:026	0	0	RABEP1
ENSG00000029725:027	0	0	RABEP1
ENSG00000029725:028	0	0	RABEP1
ENSG00000029725:029	0	0	RABEP1
ENSG00000029725:030	0	0	RABEP1
ENSG00000029725:031	0	0	RABEP1
ENSG00000029725:032	0	0	RABEP1
ENSG00000033030:001	0	0	ZCCHC8
ENSG00000033030:002	0	0	ZCCHC8
ENSG00000033030:003	0	0	ZCCHC8
ENSG00000033030:004	0	0	ZCCHC8
ENSG00000033030:005	0	0	ZCCHC8
ENSG00000033030:006	0	0	ZCCHC8
ENSG00000033030:007	0	0	ZCCHC8
ENSG00000033030:008	0	0	ZCCHC8
ENSG00000033030:009	0	0	ZCCHC8
ENSG00000033030:010	0	0	ZCCHC8
ENSG00000033030:011	0	0	ZCCHC8
ENSG00000033030:012	0	0	ZCCHC8
ENSG00000033030:013	0	0	ZCCHC8
ENSG00000033030:014	0	0	ZCCHC8
ENSG00000033030:015	0	0	ZCCHC8
ENSG00000033030:016	0	0	ZCCHC8
ENSG00000033030:017	0	0	ZCCHC8
ENSG00000033030:018	0	0	ZCCHC8
ENSG00000033030:019	0	0	ZCCHC8
ENSG00000033030:020	0	0	ZCCHC8
ENSG00000033030:021	0	0	ZCCHC8
ENSG00000033030:022	0	0	ZCCHC8
ENSG00000033030:023	0	0	ZCCHC8
ENSG00000033030:024	0	0	ZCCHC8
ENSG00000033030:025	0	0	ZCCHC8
ENSG00000033030:026	0	0	ZCCHC8
ENSG00000033030:027	0	0	ZCCHC8
ENSG00000033030:028	0	0	ZCCHC8
ENSG00000033030:029	0	0	ZCCHC8
ENSG00000033030:030	0	0	ZCCHC8
ENSG00000037280:001	0	0	FLT4
ENSG00000037280:002	0	0	FLT4
ENSG00000037280:003	0	0	FLT4
ENSG00000037280:004	0	0	FLT4
ENSG00000037280:005	0	0	FLT4
ENSG00000037280:006	0	0	FLT4
ENSG00000037280:007	0	0	FLT4
ENSG00000037280:008	0	0	FLT4
ENSG00000037280:009	0	0	FLT4
ENSG00000037280:010	0	0	FLT4
ENSG00000037280:011	0	0	FLT4
ENSG00000037280:012	0	0	FLT4
ENSG00000037280:013	0	0	FLT4
ENSG00000037280:014	0	0	FLT4
ENSG00000037280:015	0	0	FLT4
ENSG00000037280:016	0	0	FLT4
ENSG00000037280:017	0	0	FLT4
ENSG00000037280:018	0	0	FLT4
ENSG00000037280:019	0	0	FLT4
ENSG00000037280:020	0	0	FLT4
ENSG00000037280:021	0	0	FLT4
ENSG00000037280:022	0	0	FLT4
ENSG00000037280:023	0	0	FLT4
ENSG00000037280:024	0	0	FLT4
ENSG00000037280:025	0	0	FLT4
ENSG00000037280:026	0	0	FLT4
ENSG00000037280:027	0	0	FLT4
ENSG00000037280:028	0	0	FLT4
ENSG00000037280:029	0	0	FLT4
ENSG00000037280:030	0	0	FLT4
ENSG00000037280:031	0	0	FLT4
ENSG00000037280:032	0	0	FLT4
ENSG00000037280:033	0	0	FLT4
ENSG00000037280:034	0	0	FLT4
ENSG00000037280:035	0	0	FLT4
ENSG00000037280:036	0	0	FLT4
ENSG00000037280:037	0	0	FLT4
ENSG00000037280:038	0	0	FLT4
ENSG00000037280:039	0	0	FLT4
